地铁,公交
蝙蝠侠,蜘蛛侠
口红,唇膏
话剧,小品
棒棒糖,泡泡糖
非诚勿扰,天天向上
金牌,奖牌
遮阳帽,鸭舌帽
鸳鸯戏水,龙凤呈祥
台湾,香港
灌汤包,小笼包
猪肉脯,牛肉干
皮蛋豆腐,麻婆豆腐
灰姑娘,丑小鸭
花样男子,流星花园
李维嘉,何炅
第一,冠军
乱弹棉花,反弹琵琶
御姐,剩女
辅导员,班主任
甩干机,干洗机
奖励,表扬
淘宝网,赶集网
当当网,糯米网
反射,折射
外公,外婆
录像,拍照
啤酒,白酒
天天酷跑,神庙逃亡
人质,绑架
红烧牛肉面,香辣牛肉面
吉野家,必胜客
那英,韩红
当当网,淘宝网
比萨,馅饼
画报,黑板报
贵妃醉酒,黛玉葬花
东方不败,天山老妖
海带,海苔
东方神起,至上励合
美人鱼,美杜莎
辩白,辩驳
健美操,瑜伽
元芳,展昭
王菲,那英
梅花,樱花
盒子,箱子
兰州拉面,沙县小吃
三国杀,英雄杀
酸菜牛肉面,香辣牛肉面
惊涛骇浪,海不扬波
交警,警察
果粒橙,鲜橙多
董永,许仙
搜狗,百度
可乐,汽水
丑小鸭,灰姑娘
猴,猿
坐井观天,鼠目寸光
病毒,细菌
小笼包,灌汤包
手机壳,手机膜
盗墓笔记,鬼吹灯
果汁原,粒粒橙
胡说八道,语无伦次
厨艺,手艺
三角板,直尺
冠军,第一
葡萄汁,葡萄酒
啤酒,鸡尾酒
手艺,棋艺
吴昕,谢娜
土豆粉,酸辣粉
电风扇,空调
三星,华为
流星花园,花样男子
土豆网,爱奇艺
安踏,特步
柯南,福尔摩斯
何炅,维嘉
伊利,旺仔
御姐控,正太控
八路军,日军
海报,黑板报
帮凶,帮工
奶糖,牛奶
绑架,绑票
吉他,琵琶
汰渍,立白
卷发,直发
公主,格格
伪军,八路军
壁画,壁纸
电影,电视剧
必胜客,麦当劳
干洗机,甩干机
红豆粥,绿豆粥
外婆,爷爷
宫锁心玉,宫锁珠帘
外公,奶奶
奶茶,牛奶
奖励,褒扬
旺仔,蒙牛
双胞胎,龙凤胎
杭州,苏州
战地之王,穿越火线
必胜客,肯德基
万紫千红,姹紫嫣红
裸婚,闪婚
奶牛,牛奶
八路军,新四军
美人痣,青春痘
绿茶,苦茶
丑小鸭,白天鹅
成功,胜利
反恐精英,穿越火线
礼炮,鞭炮
谷歌,雅虎
坦克,大炮
辩论,辩驳
瑞星,金山
木瓜,黄瓜
云吞,饺子
万紫千红,花团锦簇
医师,律师
绿豆,黄豆
百度,谷歌
班主任,班长
急诊,门诊
壁纸,贴画
汉堡,肉夹馍
爽歪歪,蒙牛
玉帝,皇帝
小矮人,葫芦娃
十面埋伏,四面楚歌
人人网,脸盆网
基友,好友
晨光,真彩
奶奶,爷爷
矮穷挫,黑木耳
厨艺,茶艺
安全带,安全套
笔下文学,起点小说
公主,灰姑娘
白酒,鸡尾酒
宫保鸡丁,辣子鸡丁
班主任,辅导员
人参果,王母蟠桃
乌鸦,麻雀
卧底,特务
律师,法师
棋艺,茶艺
甄嬛传,红楼梦
赵敏,黄蓉
近视眼镜,隐形眼镜
公主,白天鹅
加菲猫,机器猫
人质,绑匪
暗恋,相思
海报,画报
小三,情人
动物园,海洋公园
保安,保镖
摩托车,电动车
凤姐,芙蓉姐姐
白富美,黑木耳
小品,相声
矮穷挫,高富帅
饭桶,饭碗
中考,高考
熊二,熊大
结婚,订婚
伪军,日军
动物,植物
会考,高考
御姐控,萝莉控
作家,编剧
教授,讲师
卧底,眼线
两小无猜,青梅竹马
奶糖,奶茶
白富美,高富帅
牛肉干,猪肉脯
同学,同桌
日本豆腐,皮蛋豆腐
奶牛,奶糖
肥肉,胖子
一言不发,言多必失
葡萄酒,鸡尾酒
与世无争,看破红尘
姹紫嫣红,百花齐放
澳门,香港
高富帅,黑木耳
楼梯,电梯
百度,雅虎
香辣,麻辣
万紫千红,百花齐放
海虾,海蟹
移动,联通
内奸,反贼
CF,CS
省心,费心
女朋友,老婆
褒奖,褒扬
副教授,教授
战国七雄,春秋五霸
古筝,吉他
哈密瓜,西瓜
天天向上,快乐大本营
姹紫嫣红,花团锦簇
打扫,整理
绑匪,绑架
手机,电话
汉堡包,肉夹馍
眉毛,胡须
百度文库,起点小说
女主持,女主播
放心,省心
吉野家,麦当劳
妈妈,娘
绑匪,绑票
暴露,膨胀扩大
米线,粉丝
正太控,猛男控
谢娜张杰,邓超孙俪
史泰龙,施瓦辛格
留恋不舍,眷恋
梁山伯与祝英台,罗密欧与朱丽叶
新年,跨年
玻璃,镜子
喜报,黑板报
内奸,卧底
起点小说,顶点小说
玉米,小米
中考,联考
法师,讼师
解释,说明
芬达,雪碧
劳心,放心
周瑜,诸葛亮
狮身人面像,金字塔
辩白,辩论
反恐精英,英雄联盟
回收站,垃圾桶
放心,费心
会考,联考
动滑轮,定滑轮
倚天剑,屠龙刀
仙剑奇侠传,轩辕剑
化妆,美容
蝴蝶,飞蛾
快播,暴风影音
夏家三千金,爱情睡醒了
甜瓜,香瓜
白酒,葡萄酒
辩解,辩论
初吻,初恋
小品,话剧
湿巾,餐巾纸
PSP,ps3
喜报,海报
揭露,暴露
口香糖,木糖醇
劳心,费心
包子,水饺
魔兽世界,魔兽争霸
宇航员,飞行员
五月天,飞轮海
揭露,膨胀扩大
灰姑娘,白天鹅
世纪佳缘,百合网
AD钙奶,养乐多
奖牌,金牌
可口可乐,百事可乐
七喜,雪碧
票房大卖,节节高升
百花齐放,花团锦簇
包青天,狄仁杰
QQ音乐,酷狗音乐
生活费,零花钱
蚯蚓,蛇
脚踏车,自行车
情商,智商
豆奶,豆浆
手舞足蹈,手忙脚乱
汉堡,薯条
长统靴,高跟鞋
姥爷,爷爷
斗转星移,移花接木
天然气,煤气
加多宝,王老吉
冰川,瀑布
蜘蛛侠,蝙蝠侠
御姐控,猛男控
伊利,蒙牛
腾讯,百度
民歌,京剧
帮会,帮手
夜空,星空
食人族,食人鱼
旺仔,爽歪歪
鱼香肉丝,鱼香茄子
DNA,基因
唐伯虎,韦小宝
油条,麻花
拖手,接吻
高血压,高血糖
公交,地铁
劳心,省心
烟花,鞭炮
台湾,澳门
电影,电视
掩饰,解释
冰棍,雪糕
歌手,艺人
波涛汹涌,风平浪静
助教,讲师
白富美,矮穷挫
内奸,眼线
丑小鸭,公主
笔下文学,顶点小说
上帝,耶稣
死了都要爱,离歌
吉野家,肯德基
烟花,礼炮
白金,黄金
魔术师,魔法师
伪军,新四军
宅男,屌丝
汉堡,菠萝派
塔罗牌,扑克牌
手艺,茶艺
依恋,留恋
口若悬河,画饼充饥
作文,论文
可乐,汉堡
辩白,辩解
掩饰,隐瞒
鸡蛋,鸭蛋
张韶涵,王心凌
日常用品,生活用品
助教,教授
伊利,爽歪歪
表扬,褒奖
帮工,帮手
正太控,萝莉控
犯错,认错
内奸,特务
新四军,日军
外公,爷爷
迪奥,香奈儿
松岛枫,苍井空
微信,微博
可乐,菠萝派
帮会,帮凶
淘宝网,糯米网
当当网,赶集网
葵花宝典,辟邪剑谱
发票,收据
三星,苹果
人质,绑票
水晶,玻璃
相机,相片
大白兔,金丝猴
可乐,薯条
医师,法师
奥黛丽赫本,玛丽莲梦露
天天向上,非诚勿扰
K歌之王,麦霸
辩解,辩驳
你妹,我靠
花园,菜园
奖励,褒奖
一无一切,无所不有
奶牛,奶茶
搜狗,雅虎
外婆,奶奶
联考,高考
菠萝派,薯条
剩女,御姐
旺旺仙贝,旺旺雪饼
蜘蛛侠,蜘蛛精
中央情报局,国家安全局
夜宵,烧烤
气泡,水泡
蕾丝,黑丝
张学友,陈奕迅
帮会,帮工
老佛爷,老天爷
肯德基,麦当劳
喜报,画报
何炅,李维嘉
猛男控,萝莉控
爆竹,鞭炮
帮凶,帮手
啤酒,葡萄酒
油画,素描
富二代,高富帅
副教授,助教
冠军,状元
厨艺,棋艺
特务,眼线
蛋挞,蛋糕
海飞丝,飘柔
搜狗,谷歌
QQ,微信
洗衣粉,皂角粉
副教授,讲师
锲而不舍,废寝忘食
爆竹,礼炮
袜子,裤子
中考,会考
糯米网,赶集网
烟花,爆竹
叶孤城,西门吹雪
林青霞,王祖贤
红楼梦,甄嬛传
电动车,摩托车
书,本
筷子,竹签
笤帚,拖把
树枝,树干
那英,王菲
火车,轮船
麻雀,乌鸦
眉毛,睫毛
铅笔带,铅笔盒
散文,小说
手,脚
浴缸,鱼缸
情人节,光棍节
鸭舌帽,遮阳帽
手机,座机
孟非,乐嘉
酸菜鱼,水煮鱼
海豚,海狮
首尔,东京
美人心计,倾世皇妃
蝴蝶,蜜蜂
太监,人妖
金庸,古龙
铁观音,碧螺春
郭德纲,周立波
男朋友,前男友
降龙十八掌,九阴白骨爪
福尔摩斯,工藤新一
鱼香肉丝,四喜丸子
刘诗诗,刘亦菲
白菜,生菜
婚纱,喜服
香港,台湾
薰衣草,满天星
成吉思汗,努尔哈赤
鼠目寸光,井底之蛙
葡萄,提子
甄子丹,李连杰
若曦,晴川
谢娜,李湘
枕头,抱枕
辣椒,芥末
语无伦次,词不达意
森马,以纯
小沈阳,宋小宝
童话,神话
水盆,水桶
江南style,最炫民族风
洗发露,护发素
神雕侠侣,天龙八部
玫瑰,月季
勇往直前,全力以赴
麦克风,扩音器
图书馆,图书店
警察,捕快
橙子,橘子
面包,蛋糕
唇膏,口红
烤肉,涮肉
泡泡糖,棒棒糖
自行车,电动车
纸巾,手帕
孟飞,乐嘉
麻婆豆腐,皮蛋豆腐
过山车,碰碰车
沐浴露,沐浴盐
脸盆,水桶
电话,手机
直尺,三角板
门诊,急诊
爷爷,姥爷
粉丝,米线
反弹琵琶,乱弹棉花玫瑰
节节高升,票房大卖
端午节,中秋节
胖子,肥肉
状元,冠军
高跟鞋,增高鞋
卧底，平民
